Company Name,Market Cap (crores),Share Price (rupees),Golden Cross Date
LLOYDS METALS N ENERGY L,71087.7577216,1350.6,2025-08-01
LLOYDS METALS N ENERGY L,71087.7577216,1350.6,2025-09-26
PRESTIGE ESTATE LTD,73801.3216768,1713.4,2025-07-30
PRESTIGE ESTATE LTD,73801.3216768,1713.4,2025-08-29
PRESTIGE ESTATE LTD,73801.3216768,1713.4,2025-09-29
MAHINDRA LIFESPACE DEVLTD,8362.6377216,392.1,2025-08-01
MAHINDRA LIFESPACE DEVLTD,8362.6377216,392.1,2025-09-30
CYIENT LIMITED,13137.1982848,1190.7,2025-07-24
CYIENT LIMITED,13137.1982848,1190.7,2025-09-04
CYIENT LIMITED,13137.1982848,1190.7,2025-09-26
TECHNO ELEC & ENG CO. LTD,15784.1784832,1357.2,2025-09-12
VINATI ORGANICS LTD,17564.0674304,1693.5,2025-09-15
VINATI ORGANICS LTD,17564.0674304,1693.5,2025-10-09
PIDILITE INDUSTRIES LTD,157002.7470848,1532.0,2025-09-15
GMR AIRPORTS LIMITED,97153.1419648,92.01,2025-07-30
GMR AIRPORTS LIMITED,97153.1419648,92.01,2025-10-01
PATANJALI FOODS LIMITED,64209.05984,588.7,2025-08-08
PATANJALI FOODS LIMITED,64209.05984,588.7,2025-09-29
MPHASIS LIMITED,52144.3377152,2740.7,2025-07-24
MPHASIS LIMITED,52144.3377152,2740.7,2025-09-25
LODHA DEVELOPERS LIMITED,118480.7387136,1184.8,2025-07-25
LODHA DEVELOPERS LIMITED,118480.7387136,1184.8,2025-09-02
LODHA DEVELOPERS LIMITED,118480.7387136,1184.8,2025-09-26
NAVIN FLUORINE INT. LTD,26570.7634688,5186.5,2025-08-08
NAVIN FLUORINE INT. LTD,26570.7634688,5186.5,2025-09-26
AKUMS DRUGS AND PHARMA L,7201.1554816,470.35,2025-09-29
IRCON INTERNATIONAL LTD,16060.2456064,170.76,2025-09-30
JYOTI CNC AUTOMATION LTD,21239.0445056,933.9,2025-07-31
JYOTI CNC AUTOMATION LTD,21239.0445056,933.9,2025-09-29
PCBL CHEMICAL LIMITED,13901.94688,368.3,2025-07-24
PCBL CHEMICAL LIMITED,13901.94688,368.3,2025-09-30
CONCORD BIOTECH LIMITED,16039.7574144,1522.4,2025-08-01
CONCORD BIOTECH LIMITED,16039.7574144,1522.4,2025-09-09
NETWEB TECH INDIA LTD,22066.6822656,3895.0,2025-10-21
GODFREY PHILLIPS INDIA LT,53210.0579328,3399.2,2025-08-01
GODFREY PHILLIPS INDIA LT,53210.0579328,3399.2,2025-09-17
CREDITACCESS GRAMEEN LTD,20703.8021632,1295.7,2025-08-01
CREDITACCESS GRAMEEN LTD,20703.8021632,1295.7,2025-09-10
CREDITACCESS GRAMEEN LTD,20703.8021632,1295.7,2025-10-17
ADANI POWER LTD,329344.0114688,170.78,2025-07-24
FINOLEX CABLES LTD,12175.5009024,796.1,2025-09-24
CHOLAMANDALAM FIN HOL LTD,35004.5372416,1856.8,2025-07-25
CHOLAMANDALAM FIN HOL LTD,35004.5372416,1856.8,2025-08-28
CHOLAMANDALAM FIN HOL LTD,35004.5372416,1856.8,2025-10-06
GRASIM INDUSTRIES LTD,194792.2333696,2870.7,2025-09-10
GRASIM INDUSTRIES LTD,194792.2333696,2870.7,2025-09-29
JSW STEEL LIMITED,283679.1296,1152.5,2025-07-23
JSW STEEL LIMITED,283679.1296,1152.5,2025-09-01
BAJAJ FINANCE LIMITED,675274.3981056,1086.5,2025-07-30
RAIL VIKAS NIGAM LIMITED,69222.6686976,332.0,2025-10-03
BIRLA CORPORATION LTD,9152.0851968,1188.5,2025-08-04
BIRLA CORPORATION LTD,9152.0851968,1188.5,2025-09-29
SUMITOMO CHEM INDIA LTD,26444.7393792,529.8,2025-08-13
SUMITOMO CHEM INDIA LTD,26444.7393792,529.8,2025-09-26
DIXON TECHNO (INDIA) LTD,100974.6116608,16122.0,2025-08-12
DIXON TECHNO (INDIA) LTD,100974.6116608,16122.0,2025-09-29
GO DIGIT GENERAL INS LTD,32677.2883456,353.9,2025-09-03
WELSPUN CORP LIMITED,22404.4859392,850.2,2025-09-30
UPL LIMITED,55461.6487936,680.95,2025-08-08
UPL LIMITED,55461.6487936,680.95,2025-09-10
AFFLE 3I LIMITED,26579.910656,1880.9,2025-08-26
AFFLE 3I LIMITED,26579.910656,1880.9,2025-10-01
NATIONAL ALUMINIUM CO LTD,41755.8265856,227.35,2025-08-01
NATIONAL ALUMINIUM CO LTD,41755.8265856,227.35,2025-09-29
ANGEL ONE LIMITED,22659.2751616,2497.8,2025-08-25
PIRAMAL ENTERPRISES LTD,25527.9988736,1133.0,2025-08-04
PIRAMAL ENTERPRISES LTD,25527.9988736,1133.0,2025-10-10
BAJAJ FINSERV LTD.,346241.9185664,2169.1,2025-07-29
BAJAJ FINSERV LTD.,346241.9185664,2169.1,2025-09-03
BAJAJ FINSERV LTD.,346241.9185664,2169.1,2025-10-01
GARDEN REACH SHIP&ENG LTD,30268.0768512,2642.3,2025-08-26
GARDEN REACH SHIP&ENG LTD,30268.0768512,2642.3,2025-10-16
BAJAJ HOLDINGS & INVS LTD,141698.8983296,12732.0,2025-07-23
BAJAJ HOLDINGS & INVS LTD,141698.8983296,12732.0,2025-08-25
BAJAJ HOLDINGS & INVS LTD,141698.8983296,12732.0,2025-09-29
GODREJ INDUSTRIES LTD,37267.2659456,1106.5,2025-09-08
ASIAN PAINTS LIMITED,240377.8691072,2504.6,2025-07-22
ASIAN PAINTS LIMITED,240377.8691072,2504.6,2025-09-16
TATA TELESERV(MAHARASTRA),10949.55008,56.01,2025-09-25
TATA TELESERV(MAHARASTRA),10949.55008,56.01,2025-10-17
BIKAJI FOODS INTERN LTD,18383.4804224,733.6,2025-08-07
BIKAJI FOODS INTERN LTD,18383.4804224,733.6,2025-09-15
AADHAR HOUSING FINANCE L,22332.4274688,515.65,2025-08-11
AADHAR HOUSING FINANCE L,22332.4274688,515.65,2025-09-04
AADHAR HOUSING FINANCE L,22332.4274688,515.65,2025-10-03
TRIVENI ENGG. & INDS. LTD,7789.4844416,355.85,2025-09-24
CHOLAMANDALAM IN & FIN CO,140913.4362624,1670.3,2025-09-02
RASHTRIYA CHEMICALS & FER,8225.1177984,149.09,2025-09-15
POLY MEDICURE LIMITED,19610.0194304,1934.7,2025-09-12
BHARAT DYNAMICS LIMITED,56512.937984,1541.7,2025-10-03
RHI MAGNESITA INDIA LTD,9337.9944448,452.2,2025-08-14
RHI MAGNESITA INDIA LTD,9337.9944448,452.2,2025-09-25
KIRLOSKAR OIL ENG LTD,13000.8932352,894.95,2025-08-04
KIRLOSKAR OIL ENG LTD,13000.8932352,894.95,2025-09-03
KIRLOSKAR OIL ENG LTD,13000.8932352,894.95,2025-10-07
BHARTI HEXACOM LIMITED,90802.4938496,1812.7,2025-08-12
BHARTI HEXACOM LIMITED,90802.4938496,1812.7,2025-09-05
V-GUARD IND LTD.,15876.8955392,364.15,2025-07-31
V-GUARD IND LTD.,15876.8955392,364.15,2025-08-28
V-GUARD IND LTD.,15876.8955392,364.15,2025-10-01
INOX INDIA LIMITED,10850.7766784,1195.5,2025-07-24
INOX INDIA LIMITED,10850.7766784,1195.5,2025-10-01
CUMMINS INDIA LTD,110904.9475072,4000.9,2025-09-30
ABB INDIA LIMITED,111039.9909888,5240.0,2025-09-30
LTIMINDTREE LIMITED,166155.9504896,5561.0,2025-09-29
NETWORK18 MEDIA & INV LTD,7739.297792,48.83,2025-07-31
NETWORK18 MEDIA & INV LTD,7739.297792,48.83,2025-09-26
DOMS INDUSTRIES LIMITED,15318.7598336,2524.2,2025-09-29
ADANI GREEN ENERGY LTD,171306.319872,1040.0,2025-07-30
ADANI GREEN ENERGY LTD,171306.319872,1040.0,2025-10-15
JIO FIN SERVICES LTD,198090.948608,311.8,2025-08-26
JIO FIN SERVICES LTD,198090.948608,311.8,2025-09-26
JUBILANT INGREVIA LIMITED,11047.8286848,686.2,2025-07-30
JUBILANT INGREVIA LIMITED,11047.8286848,686.2,2025-09-12
TRIVENI TURBINE LIMITED,16790.4362496,528.2,2025-07-29
TRIVENI TURBINE LIMITED,16790.4362496,528.2,2025-09-30
CRAFTSMAN AUTOMATION LTD,16080.0948224,6726.0,2025-09-10
CRAFTSMAN AUTOMATION LTD,16080.0948224,6726.0,2025-10-06
